Asp,Elev,FalB1,FalB2,FalB3,FalB4,FalB5,FalB6,FalTCb,FalTCg,FalTCw,LAE,NDVIMin,NDVIMax,NDVIMedian,NDVIDiff,Slpp,SprB1,SprB2,SprB3,SprB4,SprB5,SprB6,SprTCb,SprTCg,SprTCw,SumB1,SumB2,SumB3,SumB4,SumB5,SumB6,SumTcb,SumTcg,SumTCw,ppti,tavei,dep
-1,1732,793,1219,1617,2652,3367,2849,1710,240,-2396,2558,1663,4422,2272,2150,1,929,1428,1953,2851,3785,3266,1923,270,-2694,833,1281,1668,2865,3561,2970,1809,254,-2534,9514,40399,6281
153,1550,894,1317,1745,3088,3900,3336,1981,278,-2776,2328,1699,3635,2102,1533,2,1046,1501,2063,3033,4353,3957,2211,310,-3098,994,1462,1980,3052,4228,3487,2148,301,-3009,8569,41038,6281
255,1374,1095,1638,2164,3286,4051,3445,2058,289,-2883,2135,1459,2332,1728,604,5,1107,1599,2213,3077,3937,3487,2000,281,-2802,1206,1771,2434,3325,4339,3736,2204,309,-3088,8447,41996,6266
-1,1388,784,1178,1570,2615,3154,2611,1602,225,-2245,2152,1529,3003,1852,1151,1,1004,1486,2022,2905,3791,3331,1926,270,-2698,1026,1530,2063,3059,3957,3384,2010,282,-2816,8083,41976,6266
284,1501,1069,1514,1929,2589,3164,2688,1607,226,-2252,2290,1234,2188,1493,695,3,1221,1755,2228,2887,3532,3038,1794,252,-2514,1063,1514,1913,2653,3210,2643,1631,229,-2285,6553,41419,6281
-1,1459,1269,1843,2456,3348,4124,3602,2095,294,-2935,2251,1291,2137,1502,635,2,1426,2017,2682,3497,4435,3869,2253,316,-3156,1152,1721,2263,3167,4230,3570,2149,302,-3010,6256,41815,6281
-1,1481,837,1283,1634,2652,3166,2550,1608,226,-2253,2225,1373,2949,1652,1297,3,1057,1558,2070,2792,3681,3146,1870,262,-2620,1011,1507,2059,2878,3578,3042,1818,255,-2546,10168,41629,6266
36,1884,976,1494,1909,3407,3785,3132,1923,270,-2694,2694,1578,2801,2035,767,4,1128,1697,2244,3298,4161,3522,2114,297,-2961,1184,1766,2372,3371,4215,3598,2141,301,-3000,9173,39575,6281
-1,1846,874,1355,1825,2684,2934,2659,1490,209,-2088,2654,1089,1969,1382,587,2,985,1480,2096,2745,3263,3003,1658,233,-2322,1097,1641,2261,2952,3410,3196,1732,243,-2427,8886,39730,6281
150,1813,1238,1883,2528,3687,4188,3573,2128,299,-2981,2619,1260,1873,1458,415,7,1313,1949,2604,3482,4313,3747,2191,308,-3070,1239,1863,2496,3588,4167,3485,2117,297,-2966,8866,39769,6281
-1,1867,727,1147,1563,2556,2450,2139,1245,175,-1744,2670,1081,2411,1470,941,0,881,1293,1799,2446,2635,2451,1339,188,-1875,880,1341,1884,2542,2756,2605,1400,197,-1961,9327,39749,6281
-1,1839,677,1021,1404,2110,2661,2301,1352,190,-1894,2633,1420,2791,1863,928,2,845,1246,1712,2479,3280,2866,1666,234,-2334,908,1277,1717,2489,3256,2867,1654,232,-2317,10359,39957,6281
