Asp,Elev,FalB1,FalB2,FalB3,FalB4,FalB5,FalB6,FalTCb,FalTCg,FalTCw,LAE,NDVIMin,NDVIMax,NDVIMedian,NDVIDiff,Slpp,SprB1,SprB2,SprB3,SprB4,SprB5,SprB6,SprTCb,SprTCg,SprTCw,SumB1,SumB2,SumB3,SumB4,SumB5,SumB6,SumTcb,SumTcg,SumTCw,ppti,tavei,dep
349,1823,771,1103,1345,2154,3080,2523,1565,220,-2192,2987,1798,2829,2201,628,2,778,1130,1361,2419,3167,2738,1609,226,-2254,832,1189,1492,2387,3358,2801,1706,239,-2390,8045,37139,6286
329,1783,992,1466,1820,2708,3486,2646,1771,249,-2481,2940,1488,3859,2349,1510,2,1121,1680,2046,3165,4048,3363,2056,289,-2881,1149,1773,2197,3192,4009,3306,2037,286,-2853,7802,37372,6290
0,1781,788,1138,1387,2547,2988,2252,1518,213,-2127,2938,1661,4939,2740,2199,2,1068,1548,1884,3027,3987,3346,2025,284,-2838,1114,1617,1990,3055,4075,3282,2070,291,-2900,7802,37372,6290
320,1821,1053,1633,2030,2665,3207,2626,1629,229,-2282,2985,971,1415,1173,242,14,1094,1771,2248,3173,3871,3423,1966,276,-2755,1141,1850,2328,3173,3964,3334,2014,283,-2821,7977,37116,6286
31,1786,897,1259,1552,2638,3249,2458,1650,232,-2312,2943,1442,4211,2530,1681,2,1108,1604,1984,2962,4113,3462,2089,293,-2927,1142,1675,2088,2996,4156,3377,2111,296,-2958,7788,37372,6290
315,1788,976,1403,1751,2740,3536,2709,1796,252,-2517,2945,1427,4522,2605,1917,2,1121,1620,2004,3011,4157,3528,2112,296,-2959,1149,1705,2143,3039,4102,3471,2084,292,-2919,7802,37372,6290
188,2170,642,903,1155,1743,2692,2174,1368,192,-1916,3340,1705,2966,2229,737,3,691,1012,1185,2197,2904,2395,1475,207,-2067,694,1045,1292,2182,3066,2440,1558,219,-2182,10305,36065,6286
180,2170,650,924,1156,1790,2766,2189,1405,197,-1969,3340,1779,2996,2361,635,2,675,991,1153,2127,2884,2365,1465,206,-2053,678,1015,1231,2136,3029,2387,1539,216,-2156,10305,36065,6286
194,1990,917,1314,1601,2391,3300,2733,1676,235,-2349,3158,1411,2446,1933,513,3,1052,1533,1896,2988,3592,3135,1825,256,-2556,1099,1598,2044,3002,3737,3125,1898,266,-2660,8292,36608,6286
108,1993,1142,1649,2021,2665,3573,3067,1815,255,-2543,3159,1180,1772,1436,337,4,1238,1811,2179,3198,3722,3200,1891,265,-2649,1251,1843,2299,3226,3836,3173,1949,274,-2730,8265,36593,6286
158,2049,1188,1682,2091,2856,3917,3492,1990,279,-2788,3218,1378,1762,1565,197,8,1165,1715,2143,3214,4079,3524,2072,291,-2903,1183,1796,2267,3235,4067,3373,2066,290,-2894,8523,36422,6286
207,2051,1222,1709,2120,2872,4025,3507,2045,287,-2865,3221,1311,1761,1533,228,4,1149,1676,2057,3060,3991,3469,2027,285,-2840,1185,1754,2176,3065,4030,3437,2047,287,-2868,8523,36422,6286
243,2092,957,1459,1829,2592,3363,2991,1708,240,-2393,3264,1399,1956,1689,267,2,937,1472,1807,2809,3373,2973,1713,240,-2401,990,1526,1942,2850,3515,2996,1786,251,-2502,8641,36347,6286
